date,close,high,low,open,volume,gdp,cpi,unemployment,indpro,retail
2016-12-31,2246.6290457589284,2253.5833449590773,2240.1771530877977,2246.137625558036,3587835714.285714,19089.379,242.637,4.7,99.0406,459305.0
2017-01-31,2275.1159790039064,2279.3645141601564,2266.755505371094,2273.5319702148436,3528821000.0,19280.084,243.618,4.7,98.8158,464412.0
2017-02-28,2329.9105417351975,2332.7852590460525,2321.1936934621713,2325.5852821751646,3645312631.5789475,19280.084,244.006,4.6,98.4356,464284.0
2017-03-31,2366.822170091712,2373.9391452955165,2359.0482230808425,2366.868705417799,3550609130.4347825,19280.084,243.892,4.4,99.0492,463674.0
2017-04-30,2359.309454666941,2367.174740439967,2352.3247198807567,2360.1500051398025,3440518947.368421,19438.643,244.193,4.4,100.0416,465276.0
2017-05-31,2395.345880681818,2399.5050159801135,2388.617254083807,2394.4700039950285,3623611818.181818,19438.643,244.004,4.4,100.128,462754.0
2017-06-30,2433.98545143821,2440.3740678267045,2426.28955078125,2434.683604847301,3685400454.5454545,19438.643,244.163,4.3,100.337,465130.0
2017-07-31,2454.102502441406,2458.224011230469,2447.2639892578127,2453.0394897460938,3167404500.0,19692.595,244.243,4.3,100.0865,465089.0
2017-08-31,2456.2230702275815,2463.6608568274455,2449.4808721127715,2456.7499681555705,3077604347.826087,19692.595,245.183,4.4,99.6323,466020.0
2017-09-30,2492.8410400390626,2496.2080078125,2486.306494140625,2491.3324951171876,3331206000.0,19692.595,246.435,4.3,99.7482,475724.0
2017-10-31,2556.9972700639205,2560.427723277699,2551.009099786932,2555.807273171165,3231297727.2727275,20037.088,246.626,4.2,100.9893,476107.0
2017-11-30,2593.605736142113,2597.4299665178573,2585.0223795572915,2590.3061639694943,3496045714.285714,20037.088,247.284,4.2,101.2493,480949.0
2017-12-31,2664.34052734375,2672.3899780273437,2658.468994140625,2666.0699951171873,3276585000.0,20037.088,247.805,4.1,101.4871,483586.0
2018-01-31,2789.8038155691966,2796.4238397507443,2777.7214471726193,2785.6866513206846,3681842380.952381,20328.553,248.859,4.0,101.4852,481414.0
2018-02-28,2705.1552477384867,2736.1094649465463,2681.7326531661183,2710.269467002467,4207051052.631579,20328.553,249.529,4.1,101.7319,484031.0
2018-03-31,2702.7738211495534,2725.3214285714284,2685.0614304315477,2707.8600027901784,3657328095.2380953,20328.553,249.577,4.0,102.1943,484110.0
2018-04-30,2653.6252092633927,2673.0562104724704,2636.618582589286,2657.6414155505954,3342604761.904762,20580.912,250.227,4.0,103.3551,484154.0
2018-05-31,2701.4936190518465,2710.0295743075285,2686.480879350142,2699.121837269176,3455082727.2727275,20580.912,250.792,3.8,102.381,491960.0
2018-06-30,2754.3528878348216,2764.3628510974704,2744.1795014880954,2754.9714239211307,3709112380.952381,20580.912,251.018,4.0,103.2256,490228.0
2018-07-31,2793.643357049851,2800.5442824590773,2782.0319010416665,2789.537155877976,3090395238.095238,20798.73,251.214,3.8,103.3561,493142.0
2018-08-31,2857.8204292629075,2864.4917204483695,2848.450885275136,2854.545643682065,3022742173.9130435,20798.73,251.663,3.8,104.0585,493445.0
2018-09-30,2901.5005139802633,2909.996826171875,2893.7457725123354,2901.570004111842,3317447894.736842,20798.73,252.182,3.7,104.1038,491507.0
2018-10-31,2785.4647800611415,2812.8843410326085,2766.0534880264945,2796.0756623641305,3996999130.4347825,20917.867,252.772,3.8,103.9297,496416.0
2018-11-30,2723.231422061012,2739.010474795387,2702.0366559709823,2719.651901971726,3839048571.428571,20917.867,252.594,3.8,104.0126,498854.0
2018-12-31,2567.3073858963817,2603.9220934416117,2539.4947317023025,2580.7026238692433,4429588421.052631,20917.867,252.767,3.9,104.0451,489113.0
2019-01-31,2607.3899972098216,2617.1771298363096,2584.9947800409227,2597.8985886346727,3850470000.0,21111.6,252.561,4.0,103.3598,490440.0
2019-02-28,2754.8642064144738,2761.4126362047696,2742.4478952508225,2750.1421412417762,3717830000.0,21111.6,253.319,3.8,102.8251,491751.0
2019-03-31,2803.9837937127977,2815.7657063802085,2789.842843191964,2803.5952497209823,3769507619.047619,21111.6,254.277,3.8,102.8361,499292.0
2019-04-30,2903.799979073661,2908.761893136161,2892.6481003534227,2900.8104887462796,3337636666.6666665,21397.938,255.233,3.7,102.2748,499343.0
2019-05-31,2854.705910422585,2870.2309015447445,2838.7550159801135,2855.3527277166195,3511397272.7272725,21397.938,255.296,3.6,102.4176,504741.0
2019-06-30,2890.165979003906,2900.743518066406,2878.5615112304686,2887.6860107421876,3562531500.0,21397.938,255.213,3.6,102.5425,505251.0
2019-07-31,2996.1136363636365,3003.907725941051,2984.14501953125,2995.7922807173295,3209066818.181818,21717.171,255.802,3.7,102.0057,509091.0
2019-08-31,2897.450450550426,2917.8186257102275,2876.7449951171875,2901.2199928977275,3648600909.090909,21717.171,256.036,3.6,102.7814,512561.0
2019-09-30,2982.156005859375,2992.0960083007812,2968.614501953125,2982.0829956054686,3708949000.0,21717.171,256.43,3.5,102.4601,509282.0
2019-10-31,2977.675197435462,2990.4130647078805,2964.954780910326,2976.9539211107335,3379158260.869565,21933.217,257.155,3.6,101.5878,510648.0
2019-11-30,3104.9044921875,3109.3900146484375,3094.3295043945313,3101.5594848632813,3620531000.0,21933.217,257.879,3.6,102.1494,514215.0
2019-12-31,3176.74951171875,3183.954275948661,3167.566208612351,3175.2633347284227,3444073333.3333335,21933.217,258.63,3.6,101.9421,515866.0
2020-01-31,3278.202857607887,3289.698556082589,3264.34619140625,3276.805733816964,3680380000.0,21751.238,259.127,3.6,101.3372,515119.0
2020-02-29,3277.3141832853617,3302.210513466283,3259.6294716282896,3285.607357627467,4444031052.631579,21751.238,259.25,3.5,101.6718,515330.0
2020-03-31,2652.393632368608,2714.109530362216,2578.604092684659,2653.1877219460225,7372062727.272727,21751.238,258.076,4.4,97.606,468324.0
2020-04-30,2761.9752255394346,2789.5714169456846,2730.0895182291665,2758.6090262276784,5886102857.142858,19958.291,256.032,14.8,84.6812,401028.0
2020-05-31,2919.6084838867187,2942.1214965820313,2895.077502441406,2919.7055053710938,5356759500.0,19958.291,255.802,13.2,86.0108,478449.0
2020-06-30,3104.6609330610795,3130.5449662642045,3074.1868119673295,3106.2736261541195,5975403636.363636,19958.291,257.042,11.0,91.6745,518038.0
2020-07-31,3207.6190962357955,3223.786365855824,3182.5099764737215,3203.598643909801,4405824090.909091,21704.437,258.352,10.2,95.0037,526304.0
2020-08-31,3391.7100190662204,3399.883347284226,3374.2633231026784,3384.8899972098216,3926977142.857143,21704.437,259.316,8.4,95.9294,530735.0
2020-09-30,3365.516671316964,3398.818091982887,3336.790945870536,3373.9771321614585,4395751428.571428,21704.437,259.997,7.8,95.8914,541302.0
