date,close,high,low,open,volume
2015-01-31,2028.1785095214843,2043.618505859375,2013.3774963378905,2031.3929809570313,3866502000.0
2015-02-28,2082.1957943564967,2086.1689517372533,2069.6510459498354,2076.61472681949,3619766315.7894735
2015-03-31,2079.9904396750712,2090.5099875710225,2070.0995594371448,2081.5272827148438,3485265909.090909
2015-04-30,2094.862839471726,2102.731887090774,2085.031447637649,2094.028122674851,3431473333.3333335
2015-05-31,2111.9435180664063,2119.6149658203126,2103.135986328125,2111.099499511719,3259386500.0
2015-06-30,2099.2836581143465,2109.4004461115055,2092.0772816051135,2101.394542347301,3327908181.818182
2015-07-31,2094.1436268199573,2102.5168235085225,2083.9640835848722,2092.9895463423295,3541845000.0
2015-08-31,2039.8662051246279,2058.501906622024,2024.972388857887,2045.9280889601935,4029847142.857143
2015-09-30,1944.4023844401042,1962.4281122116815,1929.7157098679315,1947.2642938523065,3809017619.047619
2015-10-31,2024.8127163973722,2030.5786465731535,2009.497725053267,2017.9395474520597,3902040909.090909
2015-11-30,2080.61650390625,2089.545513916016,2070.5729919433593,2080.275988769531,3797179500.0
2015-12-31,2054.0795621004972,2067.8923117897725,2041.347284490412,2056.0063643022017,3802239090.909091
2016-01-31,1918.5978875411183,1939.5578806023848,1898.2731612356085,1924.6389481393915,4863672105.263158
2016-02-29,1904.4184936523438,1917.2609924316407,1887.2794982910157,1904.8049865722655,4652478000.0
2016-03-31,2021.9540904651988,2027.079989346591,2008.5609130859375,2015.6127208362925,4210882727.2727275
2016-04-30,2075.5352318173364,2083.424781436012,2065.2652413504466,2075.0738351004466,3863094761.904762
2016-05-31,2065.5504789806546,2073.309523809524,2055.4142717633927,2064.0947381882443,3756361904.7619047
2016-06-30,2083.891368519176,2093.8318148526278,2072.0636707652698,2083.4695434570312,3947850000.0
2016-07-31,2148.9019775390625,2153.4385009765624,2139.55947265625,2145.6464965820314,3476512500.0
2016-08-31,2177.482167119565,2182.671726392663,2171.0634765625,2177.6126231317935,3287404782.6086955
2016-09-30,2157.690964471726,2166.8133603050596,2147.269066220238,2157.5738351004466,3667791428.571429
2016-10-31,2143.0209379650296,2151.324265252976,2137.0571405319943,2146.1847563244046,3472168095.2380953
2016-11-30,2164.9856887090773,2171.8414481026784,2154.512381417411,2161.8400065104165,4211684761.904762
