date,retail
2011-05-31,372505.0
2011-06-30,375587.0
2011-07-31,375442.0
2011-08-31,375860.0
2011-09-30,380042.0
2011-10-31,382207.0
2011-11-30,383422.0
2011-12-31,383985.0
2012-01-31,387531.0
2012-02-29,392310.0
2012-03-31,393698.0
2012-04-30,392073.0
2012-05-31,391376.0
2012-06-30,387901.0
2012-07-31,389686.0
2012-08-31,394524.0
2012-09-30,397681.0
2012-10-31,397494.0
2012-11-30,399708.0
2012-12-31,401093.0
2013-01-31,404434.0
2013-02-28,409118.0
2013-03-31,406223.0
2013-04-30,404231.0
2013-05-31,406677.0
2013-06-30,407921.0
2013-07-31,410268.0
2013-08-31,409691.0
2013-09-30,410044.0
2013-10-31,411399.0
2013-11-30,412561.0
2013-12-31,414812.0
2014-01-31,411561.0
2014-02-28,416736.0
2014-03-31,421230.0
2014-04-30,425546.0
2014-05-31,426253.0
2014-06-30,427305.0
2014-07-31,428079.0
2014-08-31,431379.0
2014-09-30,430189.0
2014-10-31,431903.0
2014-11-30,433113.0
2014-12-31,430110.0
2015-01-31,428208.0
2015-02-28,427119.0
2015-03-31,433647.0
2015-04-30,434470.0
2015-05-31,437865.0
2015-06-30,437951.0
2015-07-31,441942.0
2015-08-31,441849.0
2015-09-30,439867.0
2015-10-31,438693.0
2015-11-30,440303.0
2015-12-31,442149.0
2016-01-31,439466.0
2016-02-29,443117.0
2016-03-31,441856.0
2016-04-30,444254.0
2016-05-31,445490.0
2016-06-30,450237.0
2016-07-31,449789.0
2016-08-31,449946.0
2016-09-30,453056.0
2016-10-31,453847.0
2016-11-30,453892.0
2016-12-31,459305.0
2017-01-31,464412.0
2017-02-28,464284.0
2017-03-31,463674.0
2017-04-30,465276.0
2017-05-31,462754.0
2017-06-30,465130.0
2017-07-31,465089.0
2017-08-31,466020.0
2017-09-30,475724.0
2017-10-31,476107.0
2017-11-30,480949.0
2017-12-31,483586.0
2018-01-31,481414.0
2018-02-28,484031.0
2018-03-31,484110.0
2018-04-30,484154.0
2018-05-31,491960.0
2018-06-30,490228.0
2018-07-31,493142.0
2018-08-31,493445.0
2018-09-30,491507.0
2018-10-31,496416.0
2018-11-30,498854.0
2018-12-31,489113.0
2019-01-31,490440.0
2019-02-28,491751.0
